trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
93,False,"{'a': 0.005, 'e': 0.631283645506926}",30,18,-31.249481806784004,"{0: 7, 1: 1, 2: 4, 3: 0, 4: 0}",1
94,False,"{'a': 0.005, 'e': 0.6281351051896408}",25,8,-23.273644166381224,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 1}",1
95,False,"{'a': 0.005, 'e': 0.6250022682827008}",20,6,-52.43072722777591,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 1}",1
96,False,"{'a': 0.005, 'e': 0.62188505646502}",20,0,1.9290540344467164,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
97,False,"{'a': 0.005, 'e': 0.6187833918061408}",20,11,-1.1610737588392182,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
98,False,"{'a': 0.005, 'e': 0.6156971967642851}",25,16,-28.40619779511683,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
99,False,"{'a': 0.005, 'e': 0.6126263941844161}",20,13,2.046115733407821,"{0: 5, 1: 2, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.005, 'e': 0.6095709072963093}",30,8,14.021350490295838,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 0}",1
101,False,"{'a': 0.005, 'e': 0.6065306597126334}",30,6,-63.22027829879736,"{0: 20, 1: 2, 2: 0, 3: 0, 4: 2}",1
102,False,"{'a': 0.005, 'e': 0.6035055754270405}",25,4,-12.068582392206158,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 0}",1
103,False,"{'a': 0.005, 'e': 0.6004955788122659}",25,3,-45.35216640055813,"{0: 17, 1: 2, 2: 2, 3: 0, 4: 1}",1
104,False,"{'a': 0.005, 'e': 0.5975005946182375}",25,12,-60.661506619814716,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 1}",1
105,False,"{'a': 0.005, 'e': 0.5945205479701944}",25,14,-84.46898096536195,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 2}",1
106,False,"{'a': 0.005, 'e': 0.5915553643668151}",20,12,2.5559123599099225,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
107,False,"{'a': 0.005, 'e': 0.5886049696783552}",35,11,-97.51085714649226,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 2}",1
108,False,"{'a': 0.005, 'e': 0.5856692901447937}",20,2,-26.31493744718741,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
